SEF_DCM_Name,SEF_DCM_LEI,Trade_Date,Effective_Date,Internal_Prod_ID,Internal_Prod_Des,Asset_Class,Base_Prod,Sub_Prod,Tran_Type,Contract_Type,Curr_Code,Setl_Method,UPI,Block_Flag,Option_Flag,DCO_Name,DCO_LEI,Premium_Volatility_Other_Flag,First_Price,High_Price,Low_Price,Last_Price,Traded_Currency,Notional_Traded_Currency_NDA,Total_Notional_USD_NDA
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20180915,EUR_1Y_HICPXT,EUR_1Y_HICPXT INSW_EUR_HICPXT,IR,S,INF,__30/360_vs__UNKN_30/360,_EUR_HICPXT,EUR,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,1.57,1.57,1.57,1.57,EUR,25000000,30602500
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181008,GBP_FRA_3M_GBP_LIBOR_10X102,GBP_FRA_3M_GBP_LIBOR_10X102 GBP_FRA_3M_GBP_LIBOR,IR,FRA,FF,AFI/360,GBP_LIBOR_ISDA,GBP,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,0.8025,0.8025,0.8025,0.8025,GBP,300000000,419955000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,GBP_FRA_3M_GBP_LIBOR_4X96,GBP_FRA_3M_GBP_LIBOR_4X96 GBP_FRA_3M_GBP_LIBOR,IR,FRA,FF,AFI/360,GBP_LIBOR_ISDA,GBP,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,0.8,0.8,0.8,0.8,GBP,150000000,209977500
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_EUR_3MEURI_USD_3MUSDL_0X120,IRS_EUR_3MEURI_USD_3MUSDL_0X120 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_ACT/360_vs_3M_3M_ACT/360,EUR_3M_EURIBOR_USD_3M_USDLIBOR,EUR,CASH,,N,N,,,O,-19.125,-19.75,-19.125,-19.5,EUR,533000000,652445300
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_EUR_3MEURI_USD_3MUSDL_0X24,IRS_EUR_3MEURI_USD_3MUSDL_0X24 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_ACT/360_vs_3M_3M_ACT/360,EUR_3M_EURIBOR_USD_3M_USDLIBOR,EUR,CASH,,N,N,,,O,-19.5,-19.875,-19.5,-19.625,EUR,1000000000,1224100000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_EUR_3MEURI_USD_3MUSDL_0X300,IRS_EUR_3MEURI_USD_3MUSDL_0X300 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_ACT/360_vs_3M_3M_ACT/360,EUR_3M_EURIBOR_USD_3M_USDLIBOR,EUR,CASH,,N,N,,,O,-4,-4,-4,-4,EUR,25000000,30602500
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_EUR_3MEURI_USD_3MUSDL_0X360,IRS_EUR_3MEURI_USD_3MUSDL_0X360 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_ACT/360_vs_3M_3M_ACT/360,EUR_3M_EURIBOR_USD_3M_USDLIBOR,EUR,CASH,,N,N,,,O,-0.125,-0.625,-0.125,-0.625,EUR,121500000,148728150
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_EUR_3MEURI_USD_3MUSDL_0X60,IRS_EUR_3MEURI_USD_3MUSDL_0X60 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_ACT/360_vs_3M_3M_ACT/360,EUR_3M_EURIBOR_USD_3M_USDLIBOR,EUR,CASH,,N,N,,,O,-19.5,-20,-19.5,-19.75,EUR,237000000,290111700
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_EUR_3MEURI_USD_3MUSDL_0X84,IRS_EUR_3MEURI_USD_3MUSDL_0X84 IRS_EUR_3M_EURIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_ACT/360_vs_3M_3M_ACT/360,EUR_3M_EURIBOR_USD_3M_USDLIBOR,EUR,CASH,,N,N,,,O,-19.75,-19.75,-19.5,-19.5,EUR,206200000,252409420
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20180928,IRS_GBP_3MGBPL_GBP_6MGBPL_0X84,IRS_GBP_3MGBPL_GBP_6MGBPL_0X84 IRS_GBP_3M_GBPLIBOR_GBP_6M_GBPLIBOR,IR,S,FFL,3M_3M_AFI/360_vs_6M_6M_AFI/360,GBP_3M_GBPLIBOR_GBP_6M_GBPLIBOR,GBP,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,7.8,7.8,7.8,7.8,GBP,63300000,88610505
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_GBP_3MGBPL_USD_3MUSDL_0X120,IRS_GBP_3MGBPL_USD_3MUSDL_0X120 IRS_GBP_3M_GBPLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_AFI/360_vs_3M_3M_ACT/360,GBP_3M_GBPLIBOR_USD_3M_USDLIBOR,GBP,CASH,,N,N,,,O,13,13,13,13,GBP,104000000,145584400
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_GBP_3MGBPL_USD_3MUSDL_0X180,IRS_GBP_3MGBPL_USD_3MUSDL_0X180 IRS_GBP_3M_GBPLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_AFI/360_vs_3M_3M_ACT/360,GBP_3M_GBPLIBOR_USD_3M_USDLIBOR,GBP,CASH,,N,N,,,O,12.375,12.375,12.325,12.325,GBP,50000000,69992500
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_GBP_3MGBPL_USD_3MUSDL_0X360,IRS_GBP_3MGBPL_USD_3MUSDL_0X360 IRS_GBP_3M_GBPLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_3M_AFI/360_vs_3M_3M_ACT/360,GBP_3M_GBPLIBOR_USD_3M_USDLIBOR,GBP,CASH,,N,N,,,O,10.75,10.75,10.75,10.75,GBP,40000000,55994000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1DUSD-_USD_3MUSDL_0X108,IRS_USD_1DUSD-_USD_3MUSDL_0X108 IRS_USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR,IR,S,FFL,3M_1D_ACT/360_vs_3M_3M_ACT/360,USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,31.625,31.625,31.625,31.625,USD,25000000,25000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1DUSD-_USD_3MUSDL_0X24,IRS_USD_1DUSD-_USD_3MUSDL_0X24 IRS_USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR,IR,S,FFL,3M_1D_ACT/360_vs_3M_3M_ACT/360,USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,29.25,29.25,29.25,29.25,USD,100000000,100000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1DUSD-_USD_3MUSDL_0X300,IRS_USD_1DUSD-_USD_3MUSDL_0X300 IRS_USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR,IR,S,FFL,3M_1D_ACT/360_vs_3M_3M_ACT/360,USD_1D_USD-FEDERAL FUNDS-H.15_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,33.5,33.5,33.5,33.5,USD,20000000,20000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1MUSDL_USD_3MUSDL_0X120,IRS_USD_1MUSDL_USD_3MUSDL_0X120 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_1M_ACT/360_vs_3M_3M_ACT/360,USD_1M_USDLIBOR_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,9,9,9,9,USD,100000000,100000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1MUSDL_USD_3MUSDL_0X24,IRS_USD_1MUSDL_USD_3MUSDL_0X24 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_1M_ACT/360_vs_3M_3M_ACT/360,USD_1M_USDLIBOR_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,11.25,11.375,11.25,11.375,USD,450000000,450000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1MUSDL_USD_3MUSDL_0X36,IRS_USD_1MUSDL_USD_3MUSDL_0X36 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_1M_ACT/360_vs_3M_3M_ACT/360,USD_1M_USDLIBOR_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,10.875,10.875,10.875,10.875,USD,175000000,175000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1MUSDL_USD_3MUSDL_0X48,IRS_USD_1MUSDL_USD_3MUSDL_0X48 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_1M_ACT/360_vs_3M_3M_ACT/360,USD_1M_USDLIBOR_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,10.5,10.5,10.375,10.375,USD,250000000,250000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1MUSDL_USD_3MUSDL_0X60,IRS_USD_1MUSDL_USD_3MUSDL_0X60 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_1M_ACT/360_vs_3M_3M_ACT/360,USD_1M_USDLIBOR_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,10,10,10,10,USD,250000000,250000000
 ICAP GLOBAL DERIVATIVES LTD,213800C2MCT5QBE5VW36,20180928,20181002,IRS_USD_1MUSDL_USD_3MUSDL_0X84,IRS_USD_1MUSDL_USD_3MUSDL_0X84 IRS_USD_1M_USDLIBOR_USD_3M_USDLIBOR,IR,S,FFL,3M_1M_ACT/360_vs_3M_3M_ACT/360,USD_1M_USDLIBOR_USD_3M_USDLIBOR,USD,CASH,,N,N,LCH Limited,F226TOH6YD6XJB17KS62,O,9.375,9.375,9.375,9.375,USD,75000000,75000000
